Doctor_Name,Specialization,Experience,Hospital_Name,City,City_Tier,Patient_Rating(%),Source,Consultation_Fee(₹)
Dr. Anil Krishna Gundala,Cardiologist,23,Medicover Hospitals ,Hyderabad,Metro,96.0,Practo,800
Dr. Sai Ravi Shanker A,Cardiologist,31,Aster Prime Hospital,Hyderabad,Metro,60.0,Practo,800
Dr. R. Balaji,Cardiologist,37,Medicover Hospitals ,Hyderabad,Metro,97.0,Practo,900
Dr. Krishna Prasad A R,Cardiologist,32,Medicover Hospitals ,Hyderabad,Metro,82.0,Practo,800
Dr. Shiva Prasad Koyalakonda,Cardiologist,23,One Cardiac Centre,Hyderabad,Metro,93.0,Practo,700
Dr. Nithin Annarapu,Cardiologist,20,Medicover Hospitals ,Hyderabad,Metro,98.0,Practo,800
Dr. M Srinivasa Rao,Cardiologist,43,Care Hospital,Hyderabad,Metro,100.0,Practo,800
Dr. K.Naga Murali,Cardiologist,26,Srikara Hospitals,Hyderabad,Metro,93.0,Practo,850
Dr. Harsha Vardhan Reddy K,Cardiologist,19,Sravani Hospital,Hyderabad,Metro,100.0,Practo,900
Dr. Premchand,Cardiologist,31,Medicover Hospitals ,Hyderabad,Metro,95.0,Practo,900
Dr. Parthasarathi Karmakar,Cardiologist,41,Techno India Dama Healthcare & Medical Centre,Kolkata,Metro,100.0,Practo,800
Dr. Hema Malathi Rath,Cardiologist,25,Techno India Dama Healthcare & Medical Centre,Kolkata,Metro,95.0,Practo,1200
Dr. Ashraful Haque,Cardiologist,20,Techno India Dama Healthcare & Medical Centre,Kolkata,Metro,95.0,Practo,1000
Dr. Pradip Saha,Cardiologist,23,Baine Hospital,Kolkata,Metro,95.0,Practo,1000
Dr. Suvendu Chattopadhyay,Cardiologist,14,Baine Hospital,Kolkata,Metro,95.0,Practo,800
Dr. Subhasish Deb,Cardiologist,13,Techno India Dama Healthcare & Medical Centre,Kolkata,Metro,95.0,Practo,1000
Dr. Supratip Kundu,Cardiologist,17,Techno India Dama Healthcare & Medical Centre,Kolkata,Metro,89.0,Practo,2500
Dr. S. B. Nagori,Cardiologist,53,Aloka Medicare Pvt. Ltd. (Formerly Calcutta Heart ),Kolkata,Metro,91.0,Practo,1500
